Accession Number,Organism,Type Material,Annotated As Type,Isolate,Specimen Voucher,Geo Loc Name,Collection Date,Collected By,Fwd Primer,Rev Primer,Note,MyCoPortal Number
MH861193,Aaosphaeria arxii,"culture from holotype of Didymosphaeria
                     arxii",Yes,,,Colombia,,,,,NCBI type_material qualifier,
MH872962,Aaosphaeria arxii,"culture from holotype of Didymosphaeria
                     arxii",Yes,,,Colombia,,,,,NCBI type_material qualifier,
JN977612,Abieticola koreana,holotype of Abieticola koreana,Yes,,,South Korea: garden located in Daejeon,,,,,NCBI type_material qualifier,
OR116440,Abrothallus altoandinus,holotype of Abrothallus altoandinus,Yes,,A. Flakus 25948,Bolivia,,Adam Flakus,,,NCBI type_material qualifier,
KP165092,Abrothallus boomii,holotype of Abrothallus boomii,Yes,S333,van den Boom 43228 (MA),,,,,,NCBI type_material qualifier,
KP165087,Abrothallus canariensis,holotype of Abrothallus canariensis,Yes,S332,van den Boom 37849 (MA),,,,,,NCBI type_material qualifier,
KP165086,Abrothallus doliiformis,holotype of Abrothallus doliiformis,Yes,S309,Perez-Ortega 2004 (MA),,,,,,NCBI type_material qualifier,
PP789045,Abrothallus epiclathratus,holotype of Abrothallus epiclathratus,Yes,AB286,EA 5103,Kenya,2016-05-31,Paul Kirika,,,NCBI type_material qualifier,
KP165101,Abrothallus eriodermae,holotype of Abrothallus eriodermae,Yes,AB60,,,,,,,NCBI type_material qualifier,
KP165085,Abrothallus etayoi,holotype of Abrothallus etayoi,Yes,S330,Perez-Ortega 2003 (MA),,,,,,NCBI type_material qualifier,
MT153946,Abrothallus subhalei,holotype of Abrothallus subhalei,Yes,,J.E.IX-6,,,,,,NCBI type_material qualifier,
ON074695,Absidia abundans,culture from holotype of Absidia abundans,Yes,,,China,,Heng Zhao,,,NCBI type_material qualifier,
ON074696,Absidia abundans,culture from holotype of Absidia abundans,Yes,,,China,,Heng Zhao,,,NCBI type_material qualifier,
ON074697,Absidia abundans,culture from holotype of Absidia abundans,Yes,,,China,,Heng Zhao,,,NCBI type_material qualifier,
MW763074,Absidia aguabelensis,"culture from holotype of Absidia
                     aguabelensis",Yes,,,Brazil,,,,,NCBI type_material qualifier,
MW763075,Absidia aguabelensis,"culture from holotype of Absidia
                     aguabelensis",Yes,,,Brazil,,,,,NCBI type_material qualifier,
MZ354138,Absidia ampullacea,"culture from holotype of Absidia
                     ampullacea",Yes,,,China,,,,,NCBI type_material qualifier,
MH859085,Absidia anomala,"culture from type material of Absidia
                     anomala",Yes,,,Cuba,,,,,NCBI type_material qualifier,
JN205815,Absidia anomala,"culture from type material of Absidia
                     anomala",Yes,,,,,,,,NCBI type_material qualifier,
EF030523,Absidia anomala,type material of Absidia anomala,Yes,,,,,,,,NCBI type_material qualifier,
MZ354153,Absidia biappendiculata,"isotype of Absidia spinosa var.
                     biappendiculata",Yes,,,USA,,,,,NCBI type_material qualifier,
MZ354139,Absidia brunnea,culture from holotype of Absidia brunnea,Yes,,,China,,,,,NCBI type_material qualifier,
KT308169,Absidia caatinguensis,holotype of Absidia caatinguensis,Yes,URM 7156,,Brazil: Pernambuco,,,,,NCBI type_material qualifier,
KT308168,Absidia caatinguensis,holotype of Absidia caatinguensis,Yes,URM 7156,,Brazil: Pernambuco,,,,,NCBI type_material qualifier,
AY944872,Absidia californica,"culture from type material of Absidia
                     californica",Yes,,,,,,,,NCBI type_material qualifier,
PP844904,Absidia cheongyangensis,"culture from holotype of Absidia
                     cheongyangensis",Yes,,,South Korea,,,,,NCBI type_material qualifier,
MZ354140,Absidia chinensis,"culture from holotype of Absidia
                     chinensis",Yes,,,China,,,,,NCBI type_material qualifier,
MZ354146,Absidia cinerea,culture from holotype of Absidia cinerea,Yes,,,China,,,,,NCBI type_material qualifier,
MN625256,Absidia cornuta,culture from holotype of Absidia cornuta,Yes,,,Brazil,,,,,NCBI type_material qualifier,
MH857828,Absidia cuneospora,type material of Absidia cuneospora,Yes,,,USA: California,,,,,NCBI type_material qualifier,
MZ354142,Absidia digitula,culture from holotype of Absidia digitula,Yes,,,China,,,,,NCBI type_material qualifier,
MT396372,Absidia edaphica,holotype of Absidia edaphica,Yes,,MFLU:20-0416,Thailand,11-Aug-2019,Bhavesh Raghoonundon,,,NCBI type_material qualifier,
PP844891,Absidia fluvii,culture from holotype of Absidia fluvii,Yes,,,South Korea,,,,,NCBI type_material qualifier,
OM108487,Absidia frigida,culture from holotype of Absidia frigida,Yes,,,China,,Heng Zhao,,,NCBI type_material qualifier,
JN205814,Absidia fusca,"culture from type material of Absidia
                     fusca",Yes,,,,,,,,NCBI type_material qualifier,
OM108488,Absidia gemella,culture from holotype of Absidia gemella,Yes,,,China,,Heng Zhao,,,NCBI type_material qualifier,
MH854573,Absidia glauca,type material of Absidia glauca,Yes,,,,,,,,NCBI type_material qualifier,
JN205810,Absidia glauca,type material of Absidia glauca,Yes,,,,,,,,NCBI type_material qualifier,
EU484272,Absidia glauca,type material of Absidia glauca,Yes,,,,,,,,NCBI type_material qualifier,
MW671537,Absidia globospora,"culture from holotype of Absidia
                     globospora",Yes,,,China,,,,,NCBI type_material qualifier,
MT436028,Absidia healeyae,holotype of Absidia healeyae,Yes,,,,,,,,NCBI type_material qualifier,
JN205847,Absidia idahoensis,type material of Absidia idahoensis,Yes,,,,,,,,NCBI type_material qualifier,
PP844906,Absidia kunryangriensis,"culture from holotype of Absidia
                     kunryangriensis",Yes,,,South Korea,,,,,NCBI type_material qualifier,
PP844905,Absidia kunryangriensis,"culture from holotype of Absidia
                     kunryangriensis",Yes,,,South Korea,,,,,NCBI type_material qualifier,
ON074691,Absidia lobata,culture from holotype of Absidia lobata,Yes,,,China,,Heng Zhao,,,NCBI type_material qualifier,
ON074690,Absidia lobata,culture from holotype of Absidia lobata,Yes,,,China,,Heng Zhao,,,NCBI type_material qualifier,
OM108489,Absidia longissima,"culture from holotype of Absidia
                     longissima",Yes,,,China,,Heng Zhao,,,NCBI type_material qualifier,
MW671542,Absidia medulla,culture from holotype of Absidia medulla,Yes,,,China,,,,,NCBI type_material qualifier,
MW473494,Absidia montepascoalis,"culture from holotype of Absidia
                     montepascoalis",Yes,281,URM<BRA>:8218,Brazil,06-Jun-2019,,,,NCBI type_material qualifier,
MZ354152,Absidia nigra,"type material of Absidia cylindrospora
                     var. nigra",Yes,,,USA,,,,,NCBI type_material qualifier,
MZ354145,Absidia oblongispora,"culture from holotype of Absidia
                     oblongispora",Yes,,,China,,,,,NCBI type_material qualifier,
MW264072,Absidia ovalispora,"culture from holotype of Absidia
                     ovalispora",Yes,,,China,,Heng Zhao & Xiaoyong Liu,,,NCBI type_material qualifier,
MF522181,Absidia panacisoli,holotype of Absidia panacisoli,Yes,,,,,,,,NCBI type_material qualifier,
PP844907,Absidia paracylindrospora,"culture from holotype of Absidia
                     paracylindrospora",Yes,,,South Korea,,,,,NCBI type_material qualifier,
PP844908,Absidia paracylindrospora,"culture from holotype of Absidia
                     paracylindrospora",Yes,,,South Korea,,,,,NCBI type_material qualifier,
MT193669,Absidia pararepens,"culture from holotype of Absidia
                     pararepens",Yes,CCF_6352,,USA,2015,,,,NCBI type_material qualifier,
MN635568,Absidia pernambucoensis,"culture from holotype of Absidia
                     pernambucoensis",Yes,,,Brazil,,,,,NCBI type_material qualifier,
EF030526,Absidia pseudocylindrospora,"type material of Absidia
                     pseudocylindrospora",Yes,,,,,,,,NCBI type_material qualifier,
AY944874,Absidia psychrophilia,type material of Absidia psychrophilia,Yes,,,,,,,,NCBI type_material qualifier,
OL678135,Absidia purpurea,culture from holotype of Absidia purpurea,Yes,,,China,,,,,NCBI type_material qualifier,
ON074698,Absidia radiata,culture from holotype of Absidia radiata,Yes,,,China,,Heng Zhao,,,NCBI type_material qualifier,
ON074699,Absidia radiata,culture from holotype of Absidia radiata,Yes,,,China,,Heng Zhao,,,NCBI type_material qualifier,
JN205813,Absidia repens,culture from isotype of Absidia repens,Yes,,,,,,,,NCBI type_material qualifier,
EU484281,Absidia repens,culture from isotype of Absidia repens,Yes,,,,,,,,NCBI type_material qualifier,
ON074692,Absidia sichuanensis,"culture from holotype of Absidia
                     sichuanensis",Yes,,,China,,Heng Zhao,,,NCBI type_material qualifier,
MT396373,Absidia soli,holotype of Absidia soli,Yes,,MFLU:20-0414,Thailand,11-Aug-2019,Bhavesh Raghoonundon,,,NCBI type_material qualifier,
KU168828,Absidia stercoraria,holotype of Absidia stercoraria,Yes,,,South Korea,,,,,NCBI type_material qualifier,
MZ354148,Absidia sympodialis,"culture from holotype of Absidia
                     sympodialis",Yes,,,China,,,,,NCBI type_material qualifier,
PP844912,Absidia tarda,culture from holotype of Absidia tarda,Yes,,,Brazil,,,,,NCBI type_material qualifier,
PP844911,Absidia tarda,culture from holotype of Absidia tarda,Yes,,,Brazil,,,,,NCBI type_material qualifier,
MW671540,Absidia turgida,culture from holotype of Absidia turgida,Yes,,,China,,,,,NCBI type_material qualifier,
PP973115,Absidia urquhartii,"culture from holotype of Absidia
                     urquhartii",Yes,,,,,,,,NCBI type_material qualifier,
MZ354149,Absidia varians,culture from holotype of Absidia varians,Yes,,,China,,,,,NCBI type_material qualifier,
PP844914,Absidia variiprojecta,"culture from holotype of Absidia
                     variiprojecta",Yes,,,Brazil,,,,,NCBI type_material qualifier,
PP844913,Absidia variiprojecta,"culture from holotype of Absidia
                     variiprojecta",Yes,,,Brazil,,,,,NCBI type_material qualifier,
PP844916,Absidia variispora,"culture from holotype of Absidia
                     variispora",Yes,,,Brazil,,,,,NCBI type_material qualifier,
PP844915,Absidia variispora,"culture from holotype of Absidia
                     variispora",Yes,,,Brazil,,,,,NCBI type_material qualifier,
MZ354151,Absidia virescens,"culture from holotype of Absidia
                     virescens",Yes,,,China,,,,,NCBI type_material qualifier,
OL678136,Absidia xinjiangensis,"culture from holotype of Absidia
                     xinjiangensis",Yes,,,China,,,,,NCBI type_material qualifier,
ON074700,Absidia yunnanensis,"culture from holotype of Absidia
                     yunnanensis",Yes,,,China,,Heng Zhao,,,NCBI type_material qualifier,
MW671541,Absidia zonata,culture from holotype of Absidia zonata,Yes,,,China,,,,,NCBI type_material qualifier,
JX141451,Abundisporus mollissimus,holotype of Abundisporus mollissimus,Yes,,Cui 6257,China,,,,,NCBI type_material qualifier,
FJ411101,Abundisporus sclerosetosus,"culture from holotype of Abundisporus
                     sclerosetosus",Yes,,,Singapore,,Cony Decock,,,NCBI type_material qualifier,
KT275194,Acanthocorticium brueggemannii,"holotype of Acanthocorticium
                     brueggemannii",Yes,,JMB2621,Brazil,14-Mar-2012,J.M. Baltazar,,,NCBI type_material qualifier,
KT429797,Acantholichen albomarginatus,"type material of Acantholichen
                     albomarginatus",Yes,MDF543,DalForno 2043,Brazil,,,,,NCBI type_material qualifier,
KT429798,Acantholichen campestris,type material of Acantholichen campestris,Yes,DIC595b,Spielmann 10243b,Brazil,,,,,NCBI type_material qualifier,
KT429785,Acantholichen galapagoensis,"type material of Acantholichen
                     galapagoensis",Yes,MDF058,DalForno 1205,Ecuador: Galapagos,,,,,NCBI type_material qualifier,
KT429794,Acantholichen sorediatus,type material of Acantholichen sorediatus,Yes,DIC335,Luecking sn,Costa Rica,,,,,NCBI type_material qualifier,
KT429796,Acantholichen variabilis,type material of Acantholichen variabilis,Yes,MDF679,Coca 5209,Colombia,,,,,NCBI type_material qualifier,
MH873644,Acanthophysium bisporum,type material of Acanthophysium bisporum,Yes,,,Guadeloupe,,,,,NCBI type_material qualifier,
MH861954,Acanthophysium bisporum,type material of Acanthophysium bisporum,Yes,,,Guadeloupe,,,,,NCBI type_material qualifier,
MH861953,Acanthophysium bisporum,holotype of Acanthophysium bisporum,Yes,,,Guadeloupe,,,,,NCBI type_material qualifier,
JN865209,Acanthostigma chiangmaiense,"type material of Acanthostigma
                     chiangmaiense",Yes,,,Thailand,,7 September 2009,,,NCBI type_material qualifier,
GQ856145,Acanthostigmina multiseptatum,"culture from type material of
                     Acanthostigma multiseptatum",Yes,,ANM 475,,,,,,NCBI type_material qualifier,
AY158671,Acaromyces ingoldii,holotype of Acaromyces ingoldii,Yes,,,Israel,,,,,NCBI type_material qualifier,
OK142738,Acarospora agostiniana,paratype of Acarospora agostiniana,Yes,,Knudsen 19236,"USA: New Mexico, Organ Mountains",,,,,NCBI type_material qualifier,
ON707055,Acarospora agostiniana,paratype of Acarospora agostiniana,Yes,,Knudsen 19236,"USA: New Mexico, Organ Mountains",,,,,NCBI type_material qualifier,
PQ046275,Acarospora atrofusca,holotype of Acarospora atrofusca,Yes,GD-22,,Pakistan,15-Apr-2022,,,,NCBI type_material qualifier,
OK142748,Acarospora divisa,holotype of Acarospora divisa,Yes,,Knudsen 19384,"USA: New Mexico, Chihuahuan Desert, Lincoln
                     Co., Carrizozo Malpais",,,,,NCBI type_material qualifier,
MW989377,Acarospora fissa,holotype of Acarospora fissa,Yes,,PRA-JV23503,"Czech Republic: Central Bohemia, Tyrovicke
                     skaly rocks",28-Apr-2020,Jan Vondrak,,,NCBI type_material qualifier,
OK142742,Acarospora fissurata,holotype of Acarospora fissurata,Yes,,JK 10255,"USA: Dona Ana Co., Chih. M., Organ M., Las
                     Cruces",,,,,NCBI type_material qualifier,
MT809051,Acarospora fusca,neotype of Acarospora fusca,Yes,,Schiefelbein 4446,Germany: Mecklenburg,06-Aug-2004,U. Schiefelbein,,,NCBI type_material qualifier,
PQ037951,Acarospora iqbalii,holotype of Acarospora iqbalii,Yes,DR-144,,,,Muhammad Shahid Iqbal,,,NCBI type_material qualifier,
OQ108365,Acarospora pakistanica,holotype of Acarospora pakistanica,Yes,,LAH37628,Pakistan,,,,,NCBI type_material qualifier,
OK256960,Acarospora ryanii,holotype of Acarospora ryanii,Yes,,Ryan 18921,USA: New Mexico,,,,,NCBI type_material qualifier,
OP950856,Acarospora sultanii,holotype of Acarospora sultanii,Yes,DR-148,,Pakistan,,Muhammad Shahid Iqbal,,,NCBI type_material qualifier,
MH555413,Acarospora tintickiana,holotype of Acarospora tintickiana,Yes,,Leavitt 33692a BRY-C,USA: Utah,,,,,NCBI type_material qualifier,
MH555414,Acarospora tintickiana,type material of Acarospora tintickiana,Yes,,Leavitt 33692b BRY-C,USA: Utah,,,,,NCBI type_material qualifier,
OR608588,Acarosporina hyalina,holotype of Acarosporina hyalina,Yes,,PDD:45045,New Zealand,21-Jun-1982,G.J. Samuels,,,NCBI type_material qualifier,
KY852468,Acaulium acremonium,"culture from epitype of Monilia
                     acremonium",Yes,,,Germany,,,,,NCBI type_material qualifier,
KY852469,Acaulium albonigrescens,"culture from epitype of Acaulium
                     albonigrescens",Yes,,,Japan,,,,,NCBI type_material qualifier,
KY852473,Acaulium album,"culture from epitype of Synpenicillium
                     album",Yes,,,Netherlands,,,,,NCBI type_material qualifier,
MN991960,Acaulium album,"culture from epitype of Synpenicillium
                     album",Yes,,,Netherlands,,,,,NCBI type_material qualifier,
MN991959,Acaulium peruvianum,culture from holotype of Kernia peruviana,Yes,,,Peru,,,,,NCBI type_material qualifier,
MH861544,Acaulium retardatum,"culture from holotype of Acaulium
                     retardatum",Yes,,,Japan,,,,,NCBI type_material qualifier,
MN991961,Acaulium retardatum,"culture from holotype of Acaulium
                     retardatum",Yes,,,Japan,,,,,NCBI type_material qualifier,
OR475792,Acaulospora jejuensis,holotype of Acaulospora jejuensis,Yes,,,South Korea,,,,,NCBI type_material qualifier,
AY078145,Acephala applanata,"culture from holotype of Acephala
                     applanata",Yes,92-113,,,,,,,NCBI type_material qualifier,
FJ236026,Acephala macrosclerotiorum,"culture from holotype of Acephala
                     macrosclerotiorum",Yes,EW76,,Germany: ZALF,,,,,NCBI type_material qualifier,
MH863306,Acephala macrosclerotiorum,"culture from holotype of Acephala
                     macrosclerotiorum",Yes,,,Germany,,,,,NCBI type_material qualifier,
ON212664,Acericercospora hyrcanica,"culture from holotype of Acericercospora
                     hyrcanica",Yes,,,Iran,,M. Bakhshi,,,NCBI type_material qualifier,
MF167428,Acericola italica,"culture from holotype of Acericola
                     italica",Yes,,,Italy,03-May-2013,Erio Camporesi,,,NCBI type_material qualifier,
KY768873,Acericola italica,"culture from holotype of Acericola
                     italica",Yes,,,Italy,03-May-2013,E. camporesi,,,NCBI type_material qualifier,
KJ869164,Acervuloseptoria ziziphicola,"culture from holotype of Acervuloseptoria
                     ziziphicola",Yes,,,South Africa: Northen Cape Province,,J. Roux,,,NCBI type_material qualifier,
MG871290,Acervus globulosus,holotype of Acervus globulosus,Yes,HK021,HKAS 88987,,,,,,NCBI type_material qualifier,
KX976648,Achaetomiella gracilis,isotype of Chaetomium gracile,Yes,,,Japan,,,,,NCBI type_material qualifier,
KX976655,Achaetomiella virescens,"type material of Chaetomium
                     cellulolyticum",Yes,,,,,,,,NCBI type_material qualifier,
KX976654,Achaetomiella virescens,type material of Achaetomiella virescens,Yes,,,Pakistan,,,,,NCBI type_material qualifier,
MT568841,Achaetomium aegilopis,"culture from holotype of Achaetomium
                     aegilopis",Yes,,,Iran,,,,,NCBI type_material qualifier,
MH858987,Achaetomium globosum,isotype of Achaetomium globosum,Yes,,,India,,,,,NCBI type_material qualifier,
KM655349,Achaetomium globosum,isotype of Achaetomium globosum,Yes,,,,,,,,NCBI type_material qualifier,
KX976570,Achaetomium globosum,isotype of Achaetomium globosum,Yes,,,India,,,,,NCBI type_material qualifier,
KY855413,Achaetomium lippiae,"culture from holotype of Achaetomium
                     lippiae",Yes,,,Brazil,Mar-2015,,,,NCBI type_material qualifier,
MH863679,Achroceratosphaeria potamia,"culture from holotype of
                     Achroceratosphaeria potamia",Yes,,,France,,,,,NCBI type_material qualifier,
KU845804,Achroiostachys aurantispora,"culture from holotype of Achroiostachys
                     aurantispora",Yes,,,Canada,,G. White,,,NCBI type_material qualifier,
KU845792,Achroiostachys betulicola,"culture from holotype of Achroiostachys
                     betulicola",Yes,,,Canada,,E.A. Peterson,,,NCBI type_material qualifier,
PQ498087,Achroiostachys brunnea,holotype of Achroiostachys brunnea,Yes,,MFLU24-0297,,,,,,NCBI type_material qualifier,
KU845799,Achroiostachys humicola,"culture from holotype of Achroiostachys
                     humicola",Yes,,,Turkey,,M. Karman,,,NCBI type_material qualifier,
KU845805,Achroiostachys levigata,"culture from holotype of Achroiostachys
                     levigata",Yes,,,Sudan,,B.P.R. Vittal,,,NCBI type_material qualifier,
KU845807,Achroiostachys phyllophila,"culture from holotype of Achroiostachys
                     phyllophila",Yes,,,Spain,,M. Hernandez & K. Rodriguez,,,NCBI type_material qualifier,
KU845808,Achroiostachys saccharicola,"culture from holotype of Achroiostachys
                     saccharicola",Yes,,,Taiwan,,T. Watanabe,,,NCBI type_material qualifier,
MK400258,Aciculopsora srilankensis,holotype of Aciculopsora srilankensis,Yes,,"Weerakoon, G. WL60 (PDA)",Sri Lanka,2017,,,,NCBI type_material qualifier,
OR677042,Acidiella australiana,holotype of Acidiella australiana,Yes,,,Australia: Queensland,,,,,NCBI type_material qualifier,
JF910285,Acidotalaromyces lignorum,type material of Penicillium lignorum,Yes,,CBS709.68,,,,,,NCBI type_material qualifier,
HQ443695,Acidotalaromyces lignorum,type material of Penicillium lignorum,Yes,,,,,,,,NCBI type_material qualifier,
FJ430781,Acidothrix acidophila,type material of Acidothrix acidophila,Yes,,,,,,,,NCBI type_material qualifier,
OQ694466,Acidothrix acidophila,"culture from holotype of Acidothrix
                     acidophila",Yes,,,,,,,,NCBI type_material qualifier,
ON650683,Acremoniisimulans cocois,"culture from holotype of Acremoniisimulans
                     cocois",Yes,,,Thailand,30-Jul-2015,Sirinapa Konta,,,NCBI type_material qualifier,
OQ379005,Acremoniisimulans hongheensis,holotype of Acremoniisimulans hongheensis,Yes,HKAS 122669,,China,27-Dec-2019,Er-fu Yang,,,NCBI type_material qualifier,
MH275081,Acremoniisimulans thailandensis,"culture from holotype of Acremoniisimulans
                     thailandensis",Yes,,MFLUCC 16-0372,Thailand,30-Jul-2015,S. Tibpromma & K.D. Hyde,,,NCBI type_material qualifier,
PP420201,Acremoniopsis crockfordiae,holotype of Acremoniopsis crockfordiae,Yes,,,Australia: Queensland,,,,,NCBI type_material qualifier,
PV364375,Acremoniopsis labyae,holotype of Acremoniopsis labyae,Yes,,,Australia: Queensland,2014,,,,NCBI type_material qualifier,
KJ807179,Acremoniopsis suttonii,"culture from holotype of Acremoniopsis
                     suttonii",Yes,,,,,,,,NCBI type_material qualifier,
MH860300,Acremonium acutatum,type material of Acremonium acutatum,Yes,,,India,,,,,NCBI type_material qualifier,
OQ429438,Acremonium acutatum,type material of Acremonium acutatum,Yes,,,India,,"M.S. Pavg, strain 3",,,NCBI type_material qualifier,
OQ429441,Acremonium aerium,"culture from holotype of Acremonium
                     aerium",Yes,,,Morocco,,,,,NCBI type_material qualifier,
PP791429,Acremonium agapanthi,"culture from holotype of Acremonium
                     agapanthi",Yes,,,"South Africa: Western Cape Province, Cape
                     Town, Kirstenbosch",,P.W. Crous,,,NCBI type_material qualifier,
OQ429442,Acremonium alternatum,epitype of Acremonium alternatum,Yes,,,Austria,,"W. Gams, Dec 1965",,,NCBI type_material qualifier,
MH424672,Acremonium alternatum,epitype of Acremonium alternatum,Yes,,,,,,,,NCBI type_material qualifier,
OQ990087,Acremonium aquaticum,"culture from holotype of Acremonium
                     aquaticum",Yes,,,USA: North Carolina,,"Z. Jurjevic, 4 Oct. 2021",,,NCBI type_material qualifier,
MW175360,Acremonium behniae,"culture from holotype of Acremonium
                     behniae",Yes,,,South Africa: Northern Province,,P.W. Crous,,,NCBI type_material qualifier,
PV407658,Acremonium behniae,"culture from holotype of Acremonium
                     behniae",Yes,,,South Africa,2018,,,,NCBI type_material qualifier,
OQ429443,Acremonium brachypenium,"culture from holotype of Acremonium
                     brachypenium",Yes,,,Sri Lanka,,"W. Gams, Jan 1973",,,NCBI type_material qualifier,
MH860815,Acremonium brachypenium,"culture from holotype of Acremonium
                     brachypenium",Yes,,,Sri Lanka,,,,,NCBI type_material qualifier,
OQ429444,Acremonium brunneisporum,"culture from holotype of Acremonium
                     brunneisporum",Yes,,,India,,,,,NCBI type_material qualifier,
OQ429450,Acremonium chlamydosporium,"culture from holotype of Acremonium
                     chlamydosporium",Yes,,,India,,,,,NCBI type_material qualifier,
OQ429456,Acremonium egyptiacum,type material of Oospora egyptiaca,Yes,,,Egypt,,,,,NCBI type_material qualifier,
OQ429468,Acremonium ellipsoideum,"culture from holotype of Acremonium
                     ellipsoideum",Yes,,,Norway,,T. Raemae,,,NCBI type_material qualifier,
OQ429473,Acremonium guillematii,type material of Acremonium guillematii,Yes,,,France,,,,,NCBI type_material qualifier,
OR608741,Acremonium hyperparasiticum,holotype of Acremonium hyperparasiticum,Yes,,,"Australia: Queensland, Mourilyan",,,,,NCBI type_material qualifier,
OQ429474,Acremonium incrustatum,type material of Acremonium incrustatum,Yes,,,Netherlands,,W. Gams,,,NCBI type_material qualifier,
OR527519,Acremonium isabellae,holotype of Acremonium isabellae,Yes,,,Australia: New South Wales,,,,,NCBI type_material qualifier,
OQ429475,Acremonium longiphialidicum,"culture from holotype of Acremonium
                     longiphialidicum",Yes,,,United Kingdom,,,,,NCBI type_material qualifier,
MF987658,Acremonium mali,culture from holotype of Acremonium mali,Yes,HY000009,,China,,,,,NCBI type_material qualifier,
OQ429476,Acremonium multiramosum,"culture from holotype of Acremonium
                     multiramosum",Yes,,,Norway,,T. Raemae,,,NCBI type_material qualifier,
OQ429477,Acremonium mycoparasiticum,"culture from holotype of Acremonium
                     mycoparasiticum",Yes,,,Colombia,,W. Gams,,,NCBI type_material qualifier,
OQ429479,Acremonium nigrosclerotium,holotype of Acremonium nigrosclerotium,Yes,,,India,,M.N. Kamat,,,NCBI type_material qualifier,
MH860423,Acremonium nigrosclerotium,holotype of Acremonium nigrosclerotium,Yes,,,India,,,,,NCBI type_material qualifier,
PV272735,Acremonium paramultiramosum,"culture from holotype of Acremonium
                     paramultiramosum",Yes,,,France,,,,,NCBI type_material qualifier,
OQ429629,Acremonium polychromum,type material of Oospora polychroma,Yes,,,Indonesia,,,,,NCBI type_material qualifier,
OQ429485,Acremonium purpurascens,"culture from holotype of Cephalosporium
                     purpurascens",Yes,,,India,,W. Gams,,,NCBI type_material qualifier,
MH856101,Acremonium sclerotigenum,type material of Acremonium sclerotigenum,Yes,,,France,,,,,NCBI type_material qualifier,
MH860709,Acremonium sordidulum,type material of Acremonium sordidulum,Yes,,,India: Tamil Nadu,,,,,NCBI type_material qualifier,
OQ429488,Acremonium sordidulum,type material of Acremonium sordidulum,Yes,,,India,,W. Gams,,,NCBI type_material qualifier,
OQ429489,Acremonium stroudii,"culture from holotype of Acremonium
                     stroudii",Yes,,,United Kingdom,,"S. Stroud, J. Sim",,,NCBI type_material qualifier,
OQ429491,Acremonium subulatum,"culture from holotype of Acremonium
                     subulatum",Yes,,,Sri Lanka,,W. Gams,,,NCBI type_material qualifier,
OQ429493,Acremonium synnematoferum,"culture from holotype of Acremonium
                     synnematoferum",Yes,,,Norway,,T. Raemae,,,NCBI type_material qualifier,
MW063150,Acrocalymma ampeli,holotype of Acrocalymma ampeli,Yes,MFLU 19-2734,,Taiwan,18-Jul-2019,D. S Tennakoon,,,NCBI type_material qualifier,
JX276951,Acrocalymma aquaticum,"culture from holotype of Acrocalymma
                     aquaticum",Yes,,,,,,,,NCBI type_material qualifier,
ON650154,Acrocalymma arengae,"culture from holotype of Acrocalymma
                     arengae",Yes,,MFLUCC 15-0327A,Thailand,05-Dec-2014,Sirinapa Konta,,,NCBI type_material qualifier,
ON595715,Acrocalymma chuxiongense,"culture from holotype of Acrocalymma
                     chuxiongense",Yes,IFRDCC3104,,,,,,,NCBI type_material qualifier,
KJ869124,Acrocalymma cycadis,"culture from holotype of Acrocalymma
                     cycadis",Yes,,,Australia: Queensland,,P.W. Crous & R.G. Shivas,,,NCBI type_material qualifier,
KP170619,Acrocalymma fici,culture from holotype of Acrocalymma fici,Yes,,,India,,G. Malhotra,,,NCBI type_material qualifier,
OR052071,Acrocalymma hyalina,holotype of Acrocalymma hyalina,Yes,,GZAAS 23-0591,Thailand,07-Jan-2020,Na Wu,,,NCBI type_material qualifier,
OR253149,Acrocalymma paeoniae,holotype of Acrocalymma paeoniae,Yes,531,HKAS 127157,China,29-Oct-2021,W.L. Li,,,NCBI type_material qualifier,
MK347732,Acrocalymma pterocarpi,"culture from holotype of Acrocalymma
                     pterocarpi",Yes,,C233,Thailand,,Subashini C. Jayasiri,,,NCBI type_material qualifier,
MW240627,Acrocordiella photiniicola,holotype of Acrocordiella photiniicola,Yes,,MFLU 17-1552,Thailand,11-Jul-2017,MC. Samarakoon,,,NCBI type_material qualifier,
MW424507,Acrocordiella yunnanensis,holotype of Acrocordiella yunnanensis,Yes,HKAS:111922,HKAS:111922,China,19-Dec-2018,D.N. Wanasinghe,,,NCBI type_material qualifier,
OP747603,Acrodictys bambusae,holotype of Acrodictys bambusae,Yes,,GZAAS 22-2036,China,09-Apr-2022,Xia Tang,,,NCBI type_material qualifier,
OP377810,Acrodictys chishuiensis,holotype of Acrodictys chishuiensis,Yes,CS42-2-1,HKAS:112618,China,,J. Yang,,,NCBI type_material qualifier,
MK828642,Acrodictys fluminicola,"culture from holotype of Acrodictys
                     fluminicola",Yes,,S-274,China,22-Oct-2014,Li-Wei Wang,,,NCBI type_material qualifier,
PV753723,Acrodictys holubovae,holotype of Acrodictys holubovae,Yes,ACRO-1,ILLS00122883,USA: Texas,11-Aug-2022,G. Delgado,,,NCBI type_material qualifier,
OP377806,Acrodictys pyriformis,holotype of Acrodictys pyriformis,Yes,CS31-1,HKAS:112613,China,,J. Yang,,,NCBI type_material qualifier,
