Accession Number,Organism,Type Material,Annotated As Type,Isolate,Specimen Voucher,Geo Loc Name,Collection Date,Collected By,Fwd Primer,Rev Primer,Note,MyCoPortal Number
JN944029,Candida albicans,culture from neotype of Oidium albicans,Yes,,,,Feb-1996,J. E. McKinnon,,,NCBI type_material qualifier,
MW284503,Candida albicans,culture from neotype of Oidium albicans,Yes,,,,,,,,NCBI type_material qualifier,
KY101962,Candida blackwelliae,"culture from holotype of Candida
                     blackwellae",Yes,,,China,,,,,NCBI type_material qualifier,
GU291260,Candida blackwelliae,"culture from holotype of Candida
                     blackwellae",Yes,,,,,,,,NCBI type_material qualifier,
EU402940,Candida blackwelliae,holotype of Candida blackwellae,Yes,,,,,,,,NCBI type_material qualifier,
FJ172255,Candida bohioensis,"culture from type material of Candida
                     bohioensis",Yes,,,,,,,,NCBI type_material qualifier,
KY101972,Candida bohioensis,type material of Candida bohioensis,Yes,,,Panama,,,,,NCBI type_material qualifier,
KY102007,Candida buenavistaensis,"culture from type material of Candida
                     buenavistaensis",Yes,,,Panama,,,,,NCBI type_material qualifier,
FJ623627,Candida buenavistaensis,"culture from type material of Candida
                     buenavistaensis",Yes,,,,,,,,NCBI type_material qualifier,
KC118129,Candida cetoniae,holotype of Candida cetoniae,Yes,,,,,,,,NCBI type_material qualifier,
FJ623621,Candida chauliodis,"culture from holotype of Candida
                     chauliodis",Yes,,,,,,,,NCBI type_material qualifier,
KY102027,Candida chauliodis,"culture from holotype of Candida
                     chauliodis",Yes,,,USA,,,,,NCBI type_material qualifier,
KU128707,Candida coleopterorum,"culture from holotype of Candida
                     coleopterorum",Yes,,,,,,,,NCBI type_material qualifier,
FJ623622,Candida corydali,"culture from type material of Candida
                     corydali",Yes,,,,,,,,NCBI type_material qualifier,
AJ249485,Candida dubliniensis,type material of Candida dubliniensis,Yes,CD36,,Ireland,,,,,NCBI type_material qualifier,
MW284524,Candida dubliniensis,"culture from type material of Candida
                     dubliniensis",Yes,,,,,,,,NCBI type_material qualifier,
MK394123,Candida dubliniensis,"culture from type material of Candida
                     dubliniensis",Yes,,,,,,,,NCBI type_material qualifier,
