accession,organism,suspected_status,confidence,evidence_source,evidence_text,voucher,refseq_source_accession,source_accession_in_mycomap_list,dikarya_jobs_containing,example_tip_label,ncbi_url
NR_191288,Akanthomyces australiensis,holotype,high,GenBank /type_material qualifier,"holotype of Agaricus rhizoideus Y.P. Tan, Bishop-Hurley, R.G. Shivas & Marney, 2023",BRIP:72630a,OR527516,yes,1,NR_191288 Akanthomyces australiensis Queensland AU,https://www.ncbi.nlm.nih.gov/nuccore/NR_191288
NR_191293,Orbiocrella zlotorzyckae,holotype,high,GenBank /type_material qualifier,holotype of Orbiocrella zlotorzyckae,BRIP:72613a,OR527522,yes,1,NR_191293 Orbiocrella zlotorzyckae Queensland AU,https://www.ncbi.nlm.nih.gov/nuccore/NR_191293
NR_191304,Villoboletus persicinus,holotype,high,GenBank /type_material qualifier,holotype of Villoboletus persicinus,BJTC:FM1869,OR655135,yes,1,NR_191304 Villoboletus persicinus BJTC:FM1869 China,https://www.ncbi.nlm.nih.gov/nuccore/NR_191304
NR_191305,Caloboletus griseoflavus,holotype,high,GenBank /type_material qualifier,holotype of Caloboletus griseoflavus,BJTC:FM2438,OR655147,yes,1,NR_191305 Caloboletus griseoflavus BJTC:FM2438 China,https://www.ncbi.nlm.nih.gov/nuccore/NR_191305
NR_191339,Inocybe pinophila,holotype,high,GenBank /type_material qualifier,holotype of Inocybe pinophila,AMB:19334,PP065586,yes,1,NR_191339 Inocybe pinophila AMB:19334 Italy,https://www.ncbi.nlm.nih.gov/nuccore/NR_191339
NR_191340,Coprinellus maluruscyaneus,holotype,high,GenBank /type_material qualifier,holotype of Coprinellus maluruscyaneus,BRIP:76066a,PP081660,yes,1,NR_191340 Coprinellus maluruscyaneus Queensland AU,https://www.ncbi.nlm.nih.gov/nuccore/NR_191340
NR_197480,Fomitopsis fissa,holotype,high,GenBank /type_material qualifier,holotype of Fomitopsis fissa,H:7200197,ON994685,yes,1,NR_197480 Fomitopsis fissa H:7200197 California US,https://www.ncbi.nlm.nih.gov/nuccore/NR_197480
NR_197484,Fomitopsis solaris,holotype,high,GenBank /type_material qualifier,holotype of Fomitopsis solaris,LY:BR4732,ON994748,yes,1,NR_197484 Fomitopsis solaris LY BR4732 from TYPE material LY:BR4732 FR,https://www.ncbi.nlm.nih.gov/nuccore/NR_197484
NR_197518,Piloderma cinicola,holotype,high,GenBank /type_material qualifier,holotype of Piloderma cinicola,GB:0237575,OQ803267,yes,1,NR_197518 Piloderma cinicola GB:0237575 Sweden,https://www.ncbi.nlm.nih.gov/nuccore/NR_197518
NR_197523,Inocybe centesima,holotype,high,GenBank /type_material qualifier,holotype of Inocybe centesima,STU:SMNS-STU-F-0901749,OR102468,yes,1,NR_197523 Inocybe centesima STU:SMNS-STU-F-0901749 Germany,https://www.ncbi.nlm.nih.gov/nuccore/NR_197523
NR_197806,Lactarius aestivus,holotype,high,GenBank /type_material qualifier,holotype of Lactarius aestivus,GENT:JN 2008-032,KJ769670,yes,1,NR_197806 Lactarius aestivus GENT:JN 2008-032 United States,https://www.ncbi.nlm.nih.gov/nuccore/NR_197806
NR_197839,Cortinarius austroamericanus,isotype,high,GenBank /type_material qualifier,isotype of Cortinarius austroamericanus,K:235066,MF568549,yes,1,NR_197839 Cortinarius austroamericanus K:235066 Argentina,https://www.ncbi.nlm.nih.gov/nuccore/NR_197839
NR_197863,Chlorosplenium australiense,holotype,high,GenBank /type_material qualifier,holotype of Chlorosplenium australiense,PDD:117590,MW191760,yes,1,NR_197863 Chlorosplenium australiense PDD:117590 Australia,https://www.ncbi.nlm.nih.gov/nuccore/NR_197863
NR_197864,Chlorosplenium aotearoa,holotype,high,GenBank /type_material qualifier,holotype of Chlorosplenium aotearoa,PDD:99090,MW191761,yes,1,NR_197864 Chlorosplenium aotearoa PDD:99090 New Zealand,https://www.ncbi.nlm.nih.gov/nuccore/NR_197864
NR_197865,Chlorosplenium epimorsicum,holotype,high,GenBank /type_material qualifier,holotype of Chlorosplenium epimorsicum,PDD:93100,MW191762,yes,1,NR_197865 Chlorosplenium epimorsicum PDD:93100 New Zealand,https://www.ncbi.nlm.nih.gov/nuccore/NR_197865
NR_197873,Amanita virosa,neotype,high,GenBank /type_material qualifier,neotype of Amanita virosa,LIP:0402243,OM451556,yes,1,NR_197873 Amanita virosa LIP:0402243,https://www.ncbi.nlm.nih.gov/nuccore/NR_197873
NR_197880,Hebeloma angelesiense,holotype,high,GenBank /type_material qualifier,holotype of Hebeloma angelesiense,MICH:10729,OQ100100,yes,1,NR_197880 Hebeloma angelesiense MICH:10729 United States,https://www.ncbi.nlm.nih.gov/nuccore/NR_197880
NR_197886,Hebeloma pseudostrophosum,holotype,high,GenBank /type_material qualifier,holotype of Hebeloma pseudostrophosum,MICH:10795,OQ100113,yes,1,NR_197886 Hebeloma pseudostrophosum MICH:10795 United States,https://www.ncbi.nlm.nih.gov/nuccore/NR_197886
NR_197898,Chlorosplenium cusucoense,holotype,high,GenBank /type_material qualifier,holotype of Chlorosplenium cusucoense,PUL:F29694,OR653953,yes,1,NR_197898 Chlorosplenium cusucoense PUL:F29694 Cortés HN,https://www.ncbi.nlm.nih.gov/nuccore/NR_197898
NR_197905,Inocybe cuculi,holotype,high,GenBank /type_material qualifier,holotype of Inocybe cuculi,TUR:A182320,PP259063,yes,1,NR_197905 Inocybe cuculi TUR:A182320 Finland,https://www.ncbi.nlm.nih.gov/nuccore/NR_197905
NR_197920,Cladorrhinum carnegieae,ex-holotype,high,GenBank /type_material qualifier,culture from holotype of Cladorrhinum carnegieae,CBS:150814,PP791423,yes,1,NR_197920 Cladorrhinum carnegieae Arizona US,https://www.ncbi.nlm.nih.gov/nuccore/NR_197920
NR_197926,Acremonium agapanthi,ex-holotype,high,GenBank /type_material qualifier,culture from holotype of Acremonium agapanthi,CBS:150821,PP791429,yes,1,NR_197926 Acremonium agapanthi Western Cape ZA,https://www.ncbi.nlm.nih.gov/nuccore/NR_197926
NR_197979,Albatrellus piceiphilus,holotype,high,GenBank /type_material qualifier,holotype of Albatrellus piceiphilus,IFP:Cui2221,DQ789397,yes,1,NR_197979 Albatrellus piceiphilus IFP:Cui2221 China,https://www.ncbi.nlm.nih.gov/nuccore/NR_197979
NR_197980,Gloeoporus dichrous var. niger,holotype,high,GenBank /type_material qualifier,holotype of Ceriporiopsis nigra,O:17528,EU546098,yes,1,NR_197980 Gloeoporus dichrous var. niger O:17528 Norway,https://www.ncbi.nlm.nih.gov/nuccore/NR_197980
NR_197985,Psilocybe serbica var. moravica,holotype,high,GenBank /type_material qualifier,holotype of Psilocybe moravica,PRM:900455,GU565182,yes,1,NR_197985 Psilocybe serbica var. moravica PRM:900455 Czech Republic,https://www.ncbi.nlm.nih.gov/nuccore/NR_197985
NR_197991,Truncatoporia pyricola,holotype,high,GenBank /type_material qualifier,holotype of Perenniporia pyricola,BJFC:Dai 10265,JN048761,yes,1,NR_197991 Truncatoporia pyricola BJFC Dai 10265 from TYPE material China,https://www.ncbi.nlm.nih.gov/nuccore/NR_197991
NR_197994,Tropicoporia aridula,holotype,high,GenBank /type_material qualifier,holotype of Perenniporia aridula,BJFC:Dai12396,JQ001854,yes,1,NR_197994 Tropicoporia aridula BJFC Dai12396 from TYPE material China,https://www.ncbi.nlm.nih.gov/nuccore/NR_197994
