accession,organism,suspected_status,confidence,evidence_source,evidence_text,voucher,refseq_source_accession,source_accession_in_mycomap_list,dikarya_jobs_containing,example_tip_label,ncbi_url
MK397577,Panaeolus plantaginiformis,lectotype,high,GenBank /type_material qualifier,lectotype of Psammomyces plantaginiformis,"LE 2862, lectotype",,,91,"MK397577 Psammomyces plantaginiformis LE 2862, lectotype",https://www.ncbi.nlm.nih.gov/nuccore/MK397577
NR_173927,Gymnopilus ochraceus,holotype,high,GenBank /type_material qualifier,holotype of Gymnopilus ochraceus,O:F-72838,MT216220,yes,83,NR_173927 Gymnopilus ochraceus O:F-72838 Matabeleland North ZW,https://www.ncbi.nlm.nih.gov/nuccore/NR_173927
NR_161031,Psathyrella umbrosa,holotype,high,GenBank /type_material qualifier,holotype of Psathyrella umbrosa,MICH:12102,MF326003,yes,77,NR_161031 Psathyrella umbrosa MICH:12102 United States,https://www.ncbi.nlm.nih.gov/nuccore/NR_161031
NR_159590,Amanita pyramidata,holotype,high,GenBank /type_material qualifier,holotype of Amanita pyramidata,HKAS:87943,MH508535,yes,62,NR_159590 Amanita pyramidata HKAS:87943 Yunnan CN,https://www.ncbi.nlm.nih.gov/nuccore/NR_159590
NR_153231,Russula subsulphurea,paratype,high,GenBank /type_material qualifier,paratype of Russula subsulphurea,TENN:F18743,KF810135,yes,58,NR_153231 Russula subsulphurea TENN:F18743 Florida US,https://www.ncbi.nlm.nih.gov/nuccore/NR_153231
NR_173217,Psathyrella subcaerulea,holotype,high,GenBank /type_material qualifier,holotype of Psathyrella subcaerulea,MICH:12059,MW412409,yes,57,NR_173217 Psathyrella subcaerulea MICH:12059 Oregon US,https://www.ncbi.nlm.nih.gov/nuccore/NR_173217
NR_185439,Inocybe abdita,holotype,high,GenBank /type_material qualifier,holotype of Inocybe abdita,STU:SMNS-STU-F-0901691,OP164062,yes,57,NR_185439 Inocybe abdita STU:SMNS-STU-F-0901691 Germany,https://www.ncbi.nlm.nih.gov/nuccore/NR_185439
NR_154305,Pulchroboletus roseoalbidus,epitype,high,GenBank /type_material qualifier,epitype of Pulchroboletus roseoalbidus,AMB:12757,KJ729486,yes,54,NR_154305 Pulchroboletus roseoalbidus AMB:12757 Italy,https://www.ncbi.nlm.nih.gov/nuccore/NR_154305
NR_157868,Cortinarius phoeniceus,epitype,high,GenBank /type_material qualifier,epitype of Agaricus phoeniceus,S:CFP742,JN114084,yes,53,NR_157868 Cortinarius phoeniceus S:CFP742 Sweden,https://www.ncbi.nlm.nih.gov/nuccore/NR_157868
NR_131857,Cortinarius tillamookensis,holotype,high,GenBank /type_material qualifier,holotype of Cortinarius tillamookensis,personal:J.F. Ammirati:6130,KP087981,yes,52,NR_131857 Cortinarius tillamookensis personal:J.F. Ammirati:6130 California US,https://www.ncbi.nlm.nih.gov/nuccore/NR_131857
NR_161027,Psathyrella nitens,holotype,high,GenBank /type_material qualifier,holotype of Psathyrella nitens,MICH:11983,MF325982,yes,49,NR_161027 Psathyrella nitens MICH:11983 United States,https://www.ncbi.nlm.nih.gov/nuccore/NR_161027
NR_170034,Cortinarius mallaensis,holotype,high,GenBank /type_material qualifier,holotype of Cortinarius mallaensis,H:6033453,MT112163,yes,49,NR_170034 Cortinarius mallaensis H:6033453 Pirkanmaa FI,https://www.ncbi.nlm.nih.gov/nuccore/NR_170034
NR_171126,Cortinarius fusisporus var. olivaceodepressus,holotype,high,GenBank /type_material qualifier,holotype of Cortinarius fusisporus var. olivaceodepressus,PC:860,MT935086,yes,49,NR_171126 Cortinarius semivestitus PC:860 France,https://www.ncbi.nlm.nih.gov/nuccore/NR_171126
NR_175636,Agrocybe flexuosipes,holotype,high,GenBank /type_material qualifier,holotype of Hebeloma flexuosipes,NYS:NYS-F-001221,MN017805,yes,49,NR_175636 Agrocybe flexuosipes NYS:NYS-F-001221 United States,https://www.ncbi.nlm.nih.gov/nuccore/NR_175636
NR_156572,Psilocybe chuxiongensis,holotype,high,GenBank /type_material qualifier,holotype of Psilocybe chuxiongensis,IFRD:414-011,KF586474,yes,48,NR_156572 Psilocybe chuxiongensis IFRD:414-011 China,https://www.ncbi.nlm.nih.gov/nuccore/NR_156572
NR_176129,Russula paravioleipes,holotype,high,GenBank /type_material qualifier,holotype of Russula paravioleipes,HBAU:15001,MN658517,yes,47,NR_176129 Russula paravioleipes HBAU:15001 Zhejiang CN,https://www.ncbi.nlm.nih.gov/nuccore/NR_176129
NR_160474,Tubaria pallidissima,isotype,high,GenBank /type_material qualifier,isotype of Tubaria pallidissima,PDD:98276,KY827303,yes,46,NR_160474 Tubaria pallidissima PDD:98276 New Zealand,https://www.ncbi.nlm.nih.gov/nuccore/NR_160474
NR_173216,Candolleomyces rogueianus,holotype,high,GenBank /type_material qualifier,holotype of Psathyrella rogueiana,MICH:12031,MW412407,yes,45,NR_173216 Psathyrella rogueiana MICH:12031 Oregon US,https://www.ncbi.nlm.nih.gov/nuccore/NR_173216
NR_131851,Cortinarius rubrobrunneus,holotype,high,GenBank /type_material qualifier,holotype of Cortinarius rubrobrunneus,WTU:J. F. Ammirati 7903,KP087975,yes,42,NR_131851 Cortinarius rubrobrunneus WTU:J. F. Ammirati 7903 Ontario CA,https://www.ncbi.nlm.nih.gov/nuccore/NR_131851
NR_151651,Amanita heishidingensis,holotype,high,GenBank /type_material qualifier,holotype of Amanita heishidingensis,HKAS:76122,KC429051,yes,42,NR_151651 Amanita heishidingensis HKAS:76122 China,https://www.ncbi.nlm.nih.gov/nuccore/NR_151651
NR_161026,Psathyrella griseopallida,holotype,high,GenBank /type_material qualifier,holotype of Psathyrella griseopallida,MICH:11939,MF325974,yes,40,NR_161026 Psathyrella griseopallida MICH:11939 United States,https://www.ncbi.nlm.nih.gov/nuccore/NR_161026
NR_174636,Cortinarius perrotensis,isotype,high,GenBank /type_material qualifier,isotype of Cortinarius perrotensis,TENN:071126,KX897405,yes,39,NR_174636 Cortinarius perrotensis TENN:071126 Quebec CA,https://www.ncbi.nlm.nih.gov/nuccore/NR_174636
NR_174928,Cortinarius albidipes,holotype,high,GenBank /type_material qualifier,holotype of Cortinarius albidipes,NYS:F000129,MZ580485,yes,39,NR_174928 Cortinarius albidipes NYS:F000129 New York US,https://www.ncbi.nlm.nih.gov/nuccore/NR_174928
NR_173215,Psathyrella ramicola,holotype,high,GenBank /type_material qualifier,holotype of Psathyrella ramicola,MICH:12027,MW412406,yes,38,NR_173215 Psathyrella ramicola MICH:12027 Oregon US,https://www.ncbi.nlm.nih.gov/nuccore/NR_173215
NR_173926,Mycena juniperina,holotype,high,GenBank /type_material qualifier,holotype of Mycena juniperina,O:F-71211,MT216217,yes,38,NR_173926 Mycena juniperina O:F-71211 Vestfold NO,https://www.ncbi.nlm.nih.gov/nuccore/NR_173926
NR_119872,Pluteus saupei,holotype,high,GenBank /type_material qualifier,holotype of Pluteus saupei,ILLS:42441,HM562113,yes,36,NR_119872 Pluteus saupei ILLS:42441 Illinois US,https://www.ncbi.nlm.nih.gov/nuccore/NR_119872
NR_154868,Cortinarius fulvopaludosus,holotype,high,GenBank /type_material qualifier,holotype of Cortinarius fulvopaludosus,H:6033460,MG136823,yes,36,NR_154868 Cortinarius fulvopaludosus H:6033460 Finland,https://www.ncbi.nlm.nih.gov/nuccore/NR_154868
NR_119388,Amanita ibotengutake,holotype,high,GenBank /type_material qualifier,holotype of Amanita ibotengutake,CBM:FB-30969,AB080988,no,35,NR_119388 Amanita ibotengutake CBM:FB-30969,https://www.ncbi.nlm.nih.gov/nuccore/NR_119388
NR_160473,Tubaria mediocris,isotype,high,GenBank /type_material qualifier,isotype of Tubaria mediocris,PDD:98275,KY827302,yes,35,NR_160473 Tubaria mediocris PDD:98275 New Zealand,https://www.ncbi.nlm.nih.gov/nuccore/NR_160473
NR_173812,Russula subalpinogrisea,holotype,high,GenBank /type_material qualifier,holotype of Russula subalpinogrisea,CAL:1735,MK253444,yes,35,NR_173812 Russula subalpinogrisea CAL:1735 Sikkim IN,https://www.ncbi.nlm.nih.gov/nuccore/NR_173812
NR_198565,Psilocybe ingeli,holotype,high,GenBank /type_material qualifier,holotype of Psilocybe ingeli,PREM:63385,OR147193,yes,35,NR_198565.1,https://www.ncbi.nlm.nih.gov/nuccore/NR_198565
NR_131848,Cortinarius cruentiphyllus,holotype,high,GenBank /type_material qualifier,holotype of Cortinarius cruentiphyllus,personal:T. Niskanen:05-001,KP087972,yes,34,NR_131848 Cortinarius cruentiphyllus personal:T. Niskanen:05-001 Finland,https://www.ncbi.nlm.nih.gov/nuccore/NR_131848
NR_161029,Psathyrella praetenuis,holotype,high,GenBank /type_material qualifier,holotype of Psathyrella praetenuis,MICH:5361,MF325993,yes,34,NR_161029 Psathyrella praetenuis MICH:5361 United States,https://www.ncbi.nlm.nih.gov/nuccore/NR_161029
NR_167957,Psathyrella scanica,type,high,GenBank /type_material qualifier,type material of Psathyrella scanica,GB:LO183-09,KC992910,yes,34,NR_167957 Psathyrella scanica GB:LO183-09 Sweden,https://www.ncbi.nlm.nih.gov/nuccore/NR_167957
NR_174656,Cortinarius caesiifolius,holotype,high,GenBank /type_material qualifier,holotype of Cortinarius caesiifolius,MICH:10326,MZ580462,yes,34,NR_174656 Cortinarius caesiifolius MICH:10326 Washington US,https://www.ncbi.nlm.nih.gov/nuccore/NR_174656
NR_159820,Crepidotus albolanatus,holotype,high,GenBank /type_material qualifier,holotype of Crepidotus albolanatus,PDD:72865,KY827292,yes,33,NR_159820 Crepidotus albolanatus PDD:72865 New Zealand,https://www.ncbi.nlm.nih.gov/nuccore/NR_159820
NR_182946,Entoloma cinnamomeum,holotype,high,GenBank /type_material qualifier,holotype of Entoloma cinnamomeum,LE<RUS>:311801,OK161243,yes,32,NR_182946 Entoloma cinnamomeum LE:311801 Tver RU,https://www.ncbi.nlm.nih.gov/nuccore/NR_182946
NR_131850,Cortinarius timiskamingensis,holotype,high,GenBank /type_material qualifier,holotype of Cortinarius timiskamingensis,NBM:D. Malloch 3-9-81/2,KP087974,yes,31,NR_131850 Cortinarius timiskamingensis NBM:D. Malloch 3-9-81/2 Ontario CA,https://www.ncbi.nlm.nih.gov/nuccore/NR_131850
NR_167955,Psathyrella fagetophila,holotype,high,GenBank /type_material qualifier,holotype of Psathyrella fagetophila,M:LO210-85,KC992902,yes,31,NR_167955 Psathyrella fagetophila M:LO210-85 Sweden,https://www.ncbi.nlm.nih.gov/nuccore/NR_167955
NR_173211,Psathyrella directa,holotype,high,GenBank /type_material qualifier,holotype of Psathyrella directa,MICH:11913,MW412401,yes,31,NR_173211 Psathyrella directa MICH:11913 Oregon US,https://www.ncbi.nlm.nih.gov/nuccore/NR_173211
NR_174654,Cortinarius kranabetteri,holotype,high,GenBank /type_material qualifier,holotype of Cortinarius kranabetteri,H:T. Niskanen 11-287,MZ580449,yes,31,NR_174654 Cortinarius kranabetteri H:T. Niskanen 11-287 Alberta CA,https://www.ncbi.nlm.nih.gov/nuccore/NR_174654
NR_175751,Homophron helvolescens,holotype,high,GenBank /type_material qualifier,holotype of Hebeloma helvolescens,SAPA:10000035,MZ725549,yes,31,NR_175751 Homophron helvolescens SAPA:10000035 Japan,https://www.ncbi.nlm.nih.gov/nuccore/NR_175751
NR_131790,Cortinarius hinnuleoarmillatus,holotype,high,GenBank /type_material qualifier,holotype of Cortinarius hinnuleoarmillatus,personal:Patrick Reumaux:669,DQ499464,no,30,NR_131790 Cortinarius hinnuleoarmillatus personal:Patrick Reumaux:669 France,https://www.ncbi.nlm.nih.gov/nuccore/NR_131790
NR_154683,Amanita aprica,isotype,high,GenBank /type_material qualifier,isotype of Amanita aprica,RET:128-5,KF561972,yes,30,NR_154683 Amanita aprica RET:128-5 Washington US,https://www.ncbi.nlm.nih.gov/nuccore/NR_154683
NR_175096,Marasmius verrucosus,holotype,high,GenBank /type_material qualifier,holotype of Amyloflagellula verrucosa,CBS:696.81,MH861439,yes,30,NR_175096 Fungi Gabon,https://www.ncbi.nlm.nih.gov/nuccore/NR_175096
NR_198497,Psilocybe niveotropicalis,holotype,high,GenBank /type_material qualifier,holotype of Psilocybe niveotropicalis,FLAS:F-68078,OQ991219,yes,30,NR_198497 Psilocybe niveotropicalis FLAS:F-68078 Florida US,https://www.ncbi.nlm.nih.gov/nuccore/NR_198497
NR_152920,Gymnopus pygmaeus,holotype,high,GenBank /type_material qualifier,holotype of Gymnopus pygmaeus,URM<BRA>:90003,KX869966,yes,29,NR_152920 Gymnopus pygmaeus URM:90003 Amapá BR,https://www.ncbi.nlm.nih.gov/nuccore/NR_152920
NR_152921,Gymnopus variicolor,holotype,high,GenBank /type_material qualifier,holotype of Gymnopus variicolor,BRNM:781307,KX926134,yes,29,NR_152921 Gymnopus variicolor BRNM:781307 South Korea,https://www.ncbi.nlm.nih.gov/nuccore/NR_152921
NR_163280,Psathyrella romellii,holotype,high,GenBank /type_material qualifier,holotype of Psathyrella romellii,UPS:240-01,KC992859,yes,28,NR_163280 Psathyrella romellii UPS:240-01 Sweden,https://www.ncbi.nlm.nih.gov/nuccore/NR_163280
NR_167959,Psathyrella siccophila,type,high,GenBank /type_material qualifier,type material of Psathyrella siccophila,GB:LO417-06,KC992916,yes,28,NR_167959 Psathyrella siccophila GB:LO417-06 Sweden,https://www.ncbi.nlm.nih.gov/nuccore/NR_167959
NR_198033,Campanella buettneri,epitype,high,GenBank /type_material qualifier,epitype of Campanella buettneri,SFSU:DED8276,MF075136,yes,28,NR_198033 Campanella buettneri SFSU:DED8276 Sao Tome and Principe,https://www.ncbi.nlm.nih.gov/nuccore/NR_198033
NR_137795,Butyriboletus sanicibus,holotype,high,GenBank /type_material qualifier,holotype of Butyriboletus sanicibus,SFSU:Arora99211,KC184469,yes,27,NR_137795 Butyriboletus sanicibus SFSU:Arora99211 Yunnan CN,https://www.ncbi.nlm.nih.gov/nuccore/NR_137795
NR_158300,Agaricus jacobi,holotype,high,GenBank /type_material qualifier,holotype of Agaricus jacobi,AH:44505,KF447895,yes,27,NR_158300 Agaricus jacobi AH:44505 Spain,https://www.ncbi.nlm.nih.gov/nuccore/NR_158300
NR_158926,Polyporus brevibasidiosus,type,high,GenBank /type_material qualifier,type material of Polyporus brevibasidiosus,SFC:20130808-24,KY038474,yes,27,NR_158926 Polyporus brevibasidiosus SFC:20130808-24 South Korea,https://www.ncbi.nlm.nih.gov/nuccore/NR_158926
NR_159593,Amanita rubiginosa,holotype,high,GenBank /type_material qualifier,holotype of Amanita rubiginosa,HKAS:52216,MH508561,yes,27,NR_159593 Amanita rubiginosa HKAS:52216 Yunnan CN,https://www.ncbi.nlm.nih.gov/nuccore/NR_159593
NR_166354,Pluteus inconspicuus,holotype,high,GenBank /type_material qualifier,holotype of Pluteus inconspicuus,PDD:72485,MN738614,yes,27,NR_166354 Pluteus inconspicuus PDD:72485 New Zealand,https://www.ncbi.nlm.nih.gov/nuccore/NR_166354
NR_170029,Cortinarius occidentalisagacitas,holotype,high,GenBank /type_material qualifier,holotype of Cortinarius occidentalisagacitas,H:7057491,MT112152,yes,27,NR_170029 Cortinarius occidentalisagacitas H:7057491 Pennsylvania US,https://www.ncbi.nlm.nih.gov/nuccore/NR_170029
NR_172749,Tricholomopsis rutilans,epitype,high,GenBank /type_material qualifier,epitype of Agaricus rutilans,UPS:F-646219,KP058977,yes,27,NR_172749 Tricholomopsis rutilans UPS:F-646219 Södermanland SE,https://www.ncbi.nlm.nih.gov/nuccore/NR_172749
NR_173803,Gymnopilus dunensis,holotype,high,GenBank /type_material qualifier,holotype of Gymnopilus dunensis,LAH:35874,MK088247,yes,27,NR_173803 Gymnopilus dunensis LAH:35874 Pakistan,https://www.ncbi.nlm.nih.gov/nuccore/NR_173803
NR_174645,Entoloma montanum,holotype,high,GenBank /type_material qualifier,holotype of Entoloma montanum,GB:0191635,MW340896,yes,27,NR_174645 Entoloma montanum GB:0191635 Västernorrland SE,https://www.ncbi.nlm.nih.gov/nuccore/NR_174645
NR_154134,Lactocollybia subvariicystis,holotype,high,GenBank /type_material qualifier,holotype of Lactocollybia subvariicystis,GDGM:46536,KY042116,yes,26,NR_154134 Lactocollybia subvariicystis GDGM:46536 China,https://www.ncbi.nlm.nih.gov/nuccore/NR_154134
NR_172227,Crassisporium funariophilum,holotype,high,GenBank /type_material qualifier,holotype of Pholiotina funariophila,IB:1949/0008,KF830096,yes,26,NR_172227 Crassisporium funariophilum IB:1949/0008 Tyrol AT,https://www.ncbi.nlm.nih.gov/nuccore/NR_172227
NR_172757,Psathyrella praecox,paratype,high,GenBank /type_material qualifier,paratype of Psathyrella praecox,MICH:49251,MF325992,yes,26,NR_172757 Psathyrella spadiceogrisea MICH:49251 United States,https://www.ncbi.nlm.nih.gov/nuccore/NR_172757
NR_173076,Cortinarius albomalus,holotype,high,GenBank /type_material qualifier,holotype of Cortinarius albomalus,H:7000816,MZ568645,yes,26,NR_173076 Cortinarius albomalus H:7000816 Ontario CA,https://www.ncbi.nlm.nih.gov/nuccore/NR_173076
NR_174903,Gymnopus alliifoetidissimus,holotype,high,GenBank /type_material qualifier,holotype of Gymnopus alliifoetidissimus,GDGM:76695,MT023348,yes,26,NR_174903 Gymnopus alliifoetidissimus GDGM:76695 Guangdong CN,https://www.ncbi.nlm.nih.gov/nuccore/NR_174903
NR_177608,Entoloma paraconferendum,holotype,high,GenBank /type_material qualifier,holotype of Entoloma paraconferendum,UCH:11747,MZ611629,yes,26,NR_177608 Entoloma paraconferendum UCH:11747 Panama,https://www.ncbi.nlm.nih.gov/nuccore/NR_177608
NR_184964,Arrhenia telmatiaea,holotype,high,GenBank /type_material qualifier,holotype of Agaricus telmatiaeus,NY:12555,OM422834,yes,26,NR_184964 Arrhenia telmatiaea NY:12555 United Kingdom,https://www.ncbi.nlm.nih.gov/nuccore/NR_184964
NR_189899,Hymenopellis utriformis,holotype,high,GenBank /type_material qualifier,holotype of Hymenopellis utriformis,MFLU:22-0140,OP265164,yes,26,NR_189899 Hymenopellis utriformis MFLU:22-0140 Thailand,https://www.ncbi.nlm.nih.gov/nuccore/NR_189899
NR_121487,Inosperma apiosmotum,isotype,high,GenBank /type_material qualifier,isotype of Inocybe apiosmota,WTU:F-043329,HQ201336,no,25,NR_121487 Inosperma apiosmotum WTU:F-043329 Nova Scotia CA,https://www.ncbi.nlm.nih.gov/nuccore/NR_121487
NR_137863,Collybiopsis pseudoluxurians,holotype,high,GenBank /type_material qualifier,holotype of Gymnopus pseudoluxurians,TENN:68144,KJ416242,yes,25,NR_137863 Gymnopus pseudoluxurians TENN:68144 Mississippi US,https://www.ncbi.nlm.nih.gov/nuccore/NR_137863
NR_153255,Russula katarinae,holotype,high,GenBank /type_material qualifier,holotype of Russula katarinae,PC:Buyck 03.159,KP966377,yes,25,NR_153255 Russula katarinae PC:Buyck 03.159,https://www.ncbi.nlm.nih.gov/nuccore/NR_153255
NR_173204,Lactarius deliciosus var. olivaceosordidus,holotype,high,GenBank /type_material qualifier,holotype of Lactarius deliciosus var. olivaceosordidus,MICH:11126,MW412390,yes,25,NR_173204 Lactarius deliciosus var. olivaceosordidus MICH:11126 Oregon US,https://www.ncbi.nlm.nih.gov/nuccore/NR_173204
NR_173224,Gymnopilus sordidostipes,holotype,high,GenBank /type_material qualifier,holotype of Gymnopilus sordidostipes,MICH:10992,MW412416,yes,25,NR_173224 Gymnopilus sordidostipes MICH:10992 Oregon US,https://www.ncbi.nlm.nih.gov/nuccore/NR_173224
NR_174659,Cortinarius albidoavellaneus,holotype,high,GenBank /type_material qualifier,holotype of Cortinarius albidoavellaneus,MICH:10313,MZ580483,yes,25,NR_174659 Cortinarius albidoavellaneus MICH:10313 Michigan US,https://www.ncbi.nlm.nih.gov/nuccore/NR_174659
NR_174902,Gymnopus alliifoetidissimus,holotype,high,GenBank /type_material qualifier,holotype of Gymnopus alliifoetidissimus,GDGM:76695,MT023347,yes,25,NR_174902 Gymnopus alliifoetidissimus GDGM:76695 Guangdong CN,https://www.ncbi.nlm.nih.gov/nuccore/NR_174902
NR_185398,Tricholoma sinoportentosum,holotype,high,GenBank /type_material qualifier,"holotype of Tricholoma sinoportentosum Zhu L. Yang, K. Reschke, F. Popa & G. Kost, 2018",HKAS:46084,MF034326,yes,25,NR_185398 Tricholoma sinoportentosum HKAS:46084 Sichuan CN,https://www.ncbi.nlm.nih.gov/nuccore/NR_185398
NR_200884,Russula purpureopallescens,holotype,high,GenBank /type_material qualifier,holotype of Russula purpureopallescens,L:4343531,PQ307156,yes,25,NR_200884.1 Russula purpureopallescens specimen_voucher L:4343531 Netherlands holotype,https://www.ncbi.nlm.nih.gov/nuccore/NR_200884
NR_131829,Cortinarius politus,holotype,high,GenBank /type_material qualifier,holotype of Cortinarius politus,WTU:J.F. Ammirati 13416,KC608588,no,24,NR_131829 Cortinarius politus WTU:J.F. Ammirati 13416 Washington,https://www.ncbi.nlm.nih.gov/nuccore/NR_131829
NR_137867,Clitopilus kamaka,holotype,high,GenBank /type_material qualifier,holotype of Clitopilus kamaka,PDD:96106,KJ461903,yes,24,NR_137867 Clitopilus kamaka PDD:96106 New Zealand,https://www.ncbi.nlm.nih.gov/nuccore/NR_137867
NR_153186,Inocybe acriolens,isotype,high,GenBank /type_material qualifier,isotype of Inocybe acriolens,WTU:AU10493,KY923018,yes,24,NR_153186 Inocybe acriolens WTU:AU10493 Nova Scotia CA,https://www.ncbi.nlm.nih.gov/nuccore/NR_153186
NR_159821,Crepidotus lateralipes,holotype,high,GenBank /type_material qualifier,holotype of Crepidotus lateralipes,PDD:72508,KY827293,yes,24,NR_159821 Crepidotus lateralipes PDD:72508 New Zealand,https://www.ncbi.nlm.nih.gov/nuccore/NR_159821
NR_174652,Cortinarius tetonensis,holotype,high,GenBank /type_material qualifier,holotype of Cortinarius tetonensis,WTU:J. F. Ammirati 10350,MZ580436,yes,24,NR_174652 Cortinarius tetonensis WTU:J. F. Ammirati 10350 Wyoming US,https://www.ncbi.nlm.nih.gov/nuccore/NR_174652
NR_174901,Gymnopus alliifoetidissimus,holotype,high,GenBank /type_material qualifier,holotype of Gymnopus alliifoetidissimus,GDGM:76695,MT023346,yes,24,NR_174901 Gymnopus alliifoetidissimus GDGM:76695 Guangdong CN,https://www.ncbi.nlm.nih.gov/nuccore/NR_174901
NR_177566,Entoloma nigroflavescens,holotype,high,GenBank /type_material qualifier,holotype of Entoloma nigroflavescens,LY:FA4277,MZ198884,yes,24,NR_177566 Entoloma nigroflavescens LY:FA4277 Savoie FR,https://www.ncbi.nlm.nih.gov/nuccore/NR_177566
NR_182947,Pholiotina calongei,holotype,high,GenBank /type_material qualifier,holotype of Pholiotina calongei,MA:Fungi 98486,OK256956,yes,24,NR_182947 Pholiotina calongei MA:Fungi 98486 Teruel ES,https://www.ncbi.nlm.nih.gov/nuccore/NR_182947
HE994440,Psilocybe allenii,ex-holotype,high,GenBank /type_material qualifier,culture from holotype of Psilocybe allenii,PRM 899876,,,23,HE994440 Psilocybe allenii PRM 899876 United States,https://www.ncbi.nlm.nih.gov/nuccore/HE994440
NR_119715,Amanita pallidorosea,holotype,high,GenBank /type_material qualifier,holotype of Amanita pallidorosea,HKAS:54164,FJ176736,yes,23,NR_119715 Amanita pallidorosea HKAS:54164 CN,https://www.ncbi.nlm.nih.gov/nuccore/NR_119715
NR_121207,Cortinarius boulderensis,holotype,high,GenBank /type_material qualifier,holotype of Cortinarius boulderensis,MICH:10323,DQ499466,yes,23,NR_121207 Cortinarius boulderensis MICH:10323 United States,https://www.ncbi.nlm.nih.gov/nuccore/NR_121207
NR_154162,Marasmius griseoroseus var. diminutus,type,high,GenBank /type_material qualifier,type material of Marasmius griseoroseus var. diminutus,SP:417468,JX424044,yes,23,NR_154162 Marasmius griseoroseus var. diminutus SP:417468,https://www.ncbi.nlm.nih.gov/nuccore/NR_154162
NR_157903,Cortinarius elaiops,holotype,high,GenBank /type_material qualifier,holotype of Cortinarius elaiops,PDD:88271,JX000369,yes,23,NR_157903 Cortinarius elaiops PDD:88271 New Zealand,https://www.ncbi.nlm.nih.gov/nuccore/NR_157903
NR_171325,Cortinarius epipurrus,holotype,high,GenBank /type_material qualifier,holotype of Cortinarius epipurrus,PC:R. Henry 3377,MT935029,yes,23,NR_171325 Cortinarius epipurrus PC:R. Henry 3377 France,https://www.ncbi.nlm.nih.gov/nuccore/NR_171325
NR_172763,Pulchroboletus sclerotiorum,holotype,high,GenBank /type_material qualifier,holotype of Pulchroboletus sclerotiorum,FLAS:F-60908,MH016883,yes,23,NR_172763 Boletus bicoloroides FLAS:F-60908 United States,https://www.ncbi.nlm.nih.gov/nuccore/NR_172763
NR_176110,Cortinarius lachanus,holotype,high,GenBank /type_material qualifier,holotype of Cortinarius lachanus,PDD:103887,KF727361,yes,23,NR_176110 Cortinarius lachanus PDD:103887 New Zealand,https://www.ncbi.nlm.nih.gov/nuccore/NR_176110
NR_177161,Entoloma ammophilum,holotype,high,GenBank /type_material qualifier,holotype of Entoloma ammophilum,L:0608224,MW934591,yes,23,NR_177161 Entoloma ammophilum L:0608224 Netherlands,https://www.ncbi.nlm.nih.gov/nuccore/NR_177161
NR_185440,Inocybe orioli,holotype,high,GenBank /type_material qualifier,holotype of Inocybe orioli,STU:SMNS-STU-F-0901703,OP164074,yes,23,NR_185440 Inocybe orioli STU:SMNS-STU-F-0901703 Germany,https://www.ncbi.nlm.nih.gov/nuccore/NR_185440
NR_198429,Clavulinopsis incarnata,holotype,high,GenBank /type_material qualifier,holotype of Clavulinopsis incarnata,MHHNU:11330,OQ703787,yes,23,NR_198429 Clavulinopsis incarnata MHHNU:11330 Yunnan CN,https://www.ncbi.nlm.nih.gov/nuccore/NR_198429
NR_119821,Psilocybe allenii,ex-holotype,high,GenBank /type_material qualifier,culture from holotype of Psilocybe allenii,PRM:899876,HE994440,no,22,NR_119821 Psilocybe allenii PRM:899876 United States,https://www.ncbi.nlm.nih.gov/nuccore/NR_119821
NR_157920,Cortinarius xenosmatoides,holotype,high,GenBank /type_material qualifier,holotype of Cortinarius xenosmatoides,PDD:103668,KF727362,yes,22,NR_157920 Cortinarius xenosmatoides PDD:103668 New Zealand,https://www.ncbi.nlm.nih.gov/nuccore/NR_157920
NR_160586,Tricholoma olivaceoluteolum,holotype,high,GenBank /type_material qualifier,holotype of Tricholoma olivaceoluteolum,HKAS:93510,MF034206,yes,22,NR_160586 Tricholoma olivaceoluteolum HKAS:93510 Yunnan CN,https://www.ncbi.nlm.nih.gov/nuccore/NR_160586
NR_161024,Psathyrella flexuosipes,paratype,high,GenBank /type_material qualifier,paratype of Psathyrella flexuosipes,MICH:32961,MF325969,yes,22,NR_161024 Psathyrella flexuosipes MICH:32961 United States,https://www.ncbi.nlm.nih.gov/nuccore/NR_161024
NR_169694,Callistosporium elegans,holotype,high,GenBank /type_material qualifier,holotype of Callistosporium elegans,SFSU:Perry 617,MN017511,no,22,NR_169694 Callistosporium elegans SFSU:Perry 617 Príncipe ST,https://www.ncbi.nlm.nih.gov/nuccore/NR_169694
NR_171352,Cortinarius pseudobiformis,holotype,high,GenBank /type_material qualifier,holotype of Cortinarius pseudobiformis,PC:A. Bidaud 00-09-67,MT935330,yes,22,NR_171352 Cortinarius pseudobiformis PC:A. Bidaud 00-09-67 France,https://www.ncbi.nlm.nih.gov/nuccore/NR_171352
NR_171368,Cortinarius substriatus,holotype,high,GenBank /type_material qualifier,holotype of Cortinarius substriatus,MICH:10427,MT935529,yes,22,NR_171368 Cortinarius substriatus MICH:10427 Maine US,https://www.ncbi.nlm.nih.gov/nuccore/NR_171368
NR_174934,Entoloma fazziense,holotype,high,GenBank /type_material qualifier,holotype of Entoloma fazziense,LIP:PAM05112114,OL343536,yes,22,NR_174934 Entoloma fazziense LIP:PAM05112114 FR,https://www.ncbi.nlm.nih.gov/nuccore/NR_174934
